Year,Projected_Area_km2,Cumulative_Increase_km2,Cumulative_Increase_Pct
2025,20.53715905545163,9.290759055451632,82.61096044469015
2026,20.438965001432567,9.192565001432568,81.73784501202668
2027,20.340742083764212,9.094342083764213,80.8644729314644
2028,20.24547803023425,8.99907803023425,80.01741028448437
2029,20.140456257364445,8.894056257364445,79.08358459030842
2030,20.04224405022518,8.79584405022518,78.21030774492442
2031,19.944003368689096,8.697603368689096,77.33677771277117
2032,19.8486604982042,8.6022604982042,76.48901424637397
2033,19.743753459276387,8.497353459276388,75.55620873591894
2034,19.645523099019908,8.399123099019908,74.68277047784099
2035,19.54726465361249,8.300864653612491,73.8090824940647
2036,19.45184296617289,8.20544296617289,72.96061820825234
2037,19.347050661188796,8.100650661188796,72.02883288153362
2038,19.248802147814157,8.002402147814157,71.1552332107533
2039,19.150525938535775,7.904125938535776,70.28138727535723
2040,19.055025434141573,7.8086254341415735,69.43222217013066
2041,18.950347863101708,7.703947863101709,68.50145702715277
2042,18.852081196607127,7.605681196607128,67.62769594365422
2043,18.753787223459977,7.507387223459977,66.75369205665793
2044,18.658207902111695,7.411807902111695,65.90382613202176
2045,18.553645065013928,7.3072450650139285,64.97408117276576
2046,18.455360245401515,7.208960245401515,64.10015867656776
2047,7.499325557501761,-3.7470744424982385,-33.317990134605196
